level,query,legal_terminology_rewrite,regulatory_compliance_query,contract_clause_query,risk_scenario_query
task,"Create a unique account number for the new customer, which will be used to identify their account in the bank's systems.","Establishing the identity of a customer and assigning a unique client identifier by a reporting entity or ADI prior to providing a designated service, including verifying KYC information and performing customer due diligence procedures using reliable and independent electronic data.","Regulatory obligations for a reporting entity under the AML/CTF Act regarding customer identification requirements, mandatory collection and verification of KYC information, establishing customer identity, and implementing customer due diligence procedures prior to account origination.","Internal policy provisions and AML/CTF program clauses governing risk-based systems and controls for customer onboarding, including procedures to collect and verify KYC information, alternative identity proofing processes, and self-attestation requirements for new customer accounts.","Legal consequences for a reporting entity's failure to maintain appropriate risk-based systems and controls for customer due diligence, including the inability to establish the identity of a customer, failure to resolve discrepancies when verifying KYC information, and non-compliance with AML/CTF account origination requirements."
task,"Verify the customer's full name using a government-issued identification document, such as a passport or driver's license or reliable and independent electronic data.","Reporting entity AML/CTF program requirements to establish the identity of a customer and verify KYC information, specifically the customer's full name, using reliable and independent documentation, such as a government-issued passport, or reliable and independent electronic data.",Regulatory obligations and risk-based systems and controls for a reporting entity's customer identification program and enhanced customer due diligence procedures to verify KYC information using reliable and independent electronic data or documentation.,"Policy terms, duties, and procedural provisions requiring a reporting entity to maintain an AML/CTF program with a procedure to collect and verify a customer's full name using reliable and independent documentation or reliable and independent electronic data.","Legal consequences, offences, and liability for producing a false or misleading document for KYC, or regulatory violations when a reporting entity is unable to establish the identity of a customer using reliable and independent documentation or electronic data."
task,"Verify the customer's required personal information like citizenship, residential address, date of birth with reliable documentation or an independent electronic data source.","AML/CTF program customer identification procedures for KYC information verification by a reporting entity, encompassing the customer's full name, residential address, and date of birth, utilising reliable and independent documentation or reliable and independent electronic data.","Reporting entity regulatory obligations to implement an AML/CTF program and risk-based systems and controls to collect, update, and verify KYC information, including date of birth and residential address, ensuring compliance with customer due diligence using reliable and independent sources.","Procedural provisions, risk-based systems and controls, and contractual terms outlining a reporting entity's duties to execute customer identification requirements and verify KYC information via reliable and independent documentation or electronic data.","Compliance failures and regulatory penalties when a reporting entity lacks appropriate risk-based systems and controls within its AML/CTF program to verify KYC information, resulting in the use of electronic data or documentation that is not reliable and independent."
task,Contact the customer to confirm that the information provided is accurate and up to date.,"customer due diligence procedures by a reporting entity to update and verify existing KYC information and personal information ensuring data is accurate, up-to-date, complete, and relevant","legal obligations for a reporting entity under the Australian Privacy Principles and AML/CTF programs to take reasonable measures to update and verify existing KYC information and ensure personal information collected is accurate, up-to-date, and complete","What contractual obligations or privacy policy provisions govern customer due diligence procedures for contacting a customer to verify that personal information and KYC data are accurate, up-to-date, complete, and verified using reliable and independent sources?","regulatory fines and legal consequences for a reporting entity failing to take reasonable measures to update and verify existing KYC information, non-compliance with customer due diligence procedures, and liability for retaining personal information that is not accurate, up-to-date, and complete"
task,Check the customer's name against a Politically Exposed Persons (PEP) database to ensure they are not a high-risk individual.,Customer due diligence procedures to identify and verify customer identity and beneficial owners against Politically Exposed Persons (PEP) sources to mitigate money laundering or financing of terrorism (ML/TF) risk under AML/CTF rules,"AML/CTF program regulatory requirements and FATF Recommendations for reporting entities to conduct enhanced customer due diligence, ongoing PEP screening, and identify high-risk individuals",Provisions and duties requiring a reporting entity to establish risk-based systems and controls for screening customers against Politically Exposed Persons lists and executing an enhanced customer due diligence program,"Consequences and violations for a reporting entity failing to apply appropriate levels of ongoing customer due diligence, inadequate Politically Exposed Persons screening, and non-compliance with AML/CTF risk mitigation"
task,Check the customer's name against an independent database to ensure they are not on any watchlists.,"Verification of KYC information and customer identity using reliable and independent electronic data, documentation, and sources under an AML/CTF program to screen for money laundering or financing of terrorism risks","Regulatory obligations for a reporting entity to implement an AML/CTF program with risk-based systems and controls to collect and verify KYC information, including the customer's full name, using reliable and independent electronic data for mandatory customer due diligence and FATF compliance","Procedural provisions and compliance clauses requiring a reporting entity to perform customer due diligence, verify customer identity and beneficial owners against reliable and independent documentation or electronic data, and maintain appropriate risk-based systems for AML/CTF screening","Failure of a reporting entity to properly collect and verify KYC information using reliable and independent electronic data, leading to breaches of AML/CTF program requirements, money laundering offences, terrorist financing, and regulatory enforcement by the AUSTRAC CEO"
task,"If a potential match is found, escalate the case to the appropriate department for further investigation.","Upon the identification of a suspicious matter, compliance match, or discrepancy by a reporting entity under its AML/CTF program, the case must be escalated and referred to the relevant authority or the AUSTRAC CEO for the further investigation of a serious offence.","What are the regulatory obligations and statutory timeframes for a reporting entity to escalate a compliance match and submit a suspicious matter report to the AUSTRAC CEO, including requirements for risk-based systems, controls, and employee due diligence programs?","Procedural provisions, policy terms, and internal control clauses governing the mandatory escalation and further investigation of a suspicious match, including duties regarding the verification of KYC information, confidentiality undertakings, and authorized disclosures for legal advice.","Legal liability, regulatory penalties, and consequences for a reporting entity's failure to promptly escalate a suspicious compliance match, including delayed reporting to AUSTRAC, breaches of confidentiality, and the failure to maintain adequate risk-based systems and controls for investigations."
task,"Verify that the customer's account details, such as account number and routing number, are accurate.","Verification of KYC information and customer financial account details, including vostro account, Exchange Settlement Account, and ADI identifiers, using reliable and independent electronic data and documentation.","Regulatory obligations under the AML/CTF Act and Australian Privacy Principles to implement risk-based systems and controls for collecting, updating, and verifying the accuracy of customer account details and KYC information.",Contractual clauses and written records in correspondent banking relationships or designated services outlining responsibilities and procedures to verify customer identity and financial account details.,"Regulatory penalties and legal liability for failure to verify KYC information accurately, including removal from the Reporting Entities Roll by the AUSTRAC CEO, non-compliance with customer due diligence programs, and privacy principle violations."
task,"Confirm the source of funds for the new account, ensuring that they are legitimate and comply with relevant laws and regulations.","Customer due diligence procedures to verify the source of funds and identify the beneficial owner using reliable and independent sources, ensuring compliance with the Anti-Money Laundering and Counter-Terrorism Financing Act upon the provision of a designated service","Reporting entity obligations under the Anti-Money Laundering and Counter-Terrorism Financing Rules and FATF Recommendations for verifying the source of funds, applying risk-based systems and controls, and conducting customer due diligence when opening a new account","Terms, conditions, and procedural clauses outlining the responsibilities of reporting entities to conduct due diligence assessments, verify a customer's identity and source of funds from independent sources, and comply with an anti-money laundering and counter-terrorism financing program","Penalties, AUSTRAC CEO monitoring, and legal consequences for a reporting entity's failure to verify the source of funds, lack of appropriate risk-based systems and controls, or non-compliance with the Anti-Money Laundering and Counter-Terrorism Financing Rules leading to illicit financial flows"
task,"If any suspicious activity is detected during the verification process, escalate the case to the appropriate department for further investigation.",AML/CTF program statutory procedures for identifying a discrepancy during the process of verifying KYC information and escalating to a suspicious matter reporting obligation regarding potential money laundering or financing of terrorism offences.,"Regulatory compliance requirements and obligations under an AML/CTF program for suspicious matter reporting, resolving any discrepancy that arises in the course of verifying KYC information, and mandatory disclosure to the AUSTRAC CEO.","Contractual provisions, policy terms, and risk-based systems and controls governing the employee due diligence program, internal investigation procedures, and escalation protocols when suspicious activity or a data discrepancy is detected during the compliance verification process.","Legal consequences, compliance failures, and regulatory penalties for failing to fulfill a suspicious matter reporting obligation, inadequate risk-based systems and controls for KYC verification, or negligent investigations into money laundering or terrorism financing offences."
task,"Conduct a thorough review of the customer's information and history, including their financial history, to ensure that they are an acceptable customer.","Execution of customer due diligence and ongoing customer due diligence procedures within an AML/CTF program, encompassing the collection and verification of KYC information, beneficial owner identification, and assessment of ML/TF risk utilizing reliable and independent documentation.","legal requirements and regulatory obligations for a reporting entity establishing an AML/CTF program, including mandatory procedures to collect and verify KYC information, enhanced customer due diligence requirements, FATF Recommendations compliance, and record-keeping duties for customer identification.","contract clauses, policy terms, and procedural provisions governing a reporting entity's right to verify KYC information using reliable and independent electronic data, accept self-attestation, and conduct ongoing customer due diligence to manage ML/TF risk.","violations and consequences arising from failures in customer due diligence, including inability to establish customer identity, doubts about document veracity, unmitigated ML/TF risk, and penalties related to the tipping off offence under section 123 of the Act."
task,"Evaluate the customer's potential risk level based on factors such as their occupation, source of funds, and transaction history.","AML/CTF program procedures for evaluating ML/TF risk, utilizing risk-based systems and controls to collect and verify KYC information through reliable and independent documentation during customer due diligence.","regulatory obligations for a reporting entity under an AML/CTF program to apply ongoing customer due diligence, update and verify KYC information, and implement appropriate risk-based systems and controls to identify, mitigate, and manage ML/TF risk.","policy terms and procedural provisions requiring a reporting entity to maintain an AML/CTF program, establish appropriate risk-based systems and controls, collect KYC information, and assess customer ML/TF risk profiles.","consequences of a reporting entity failing to apply ongoing customer due diligence, inadequate risk-based systems and controls for verifying KYC information, and liability for facilitating a money laundering or financing of terrorism offence due to unmitigated ML/TF risk."
task,"Set up the customer's account in the bank's system, including any necessary product or service subscriptions.","Provision of a designated service by a reporting entity, encompassing the establishment of customer identity, execution of customer identification requirements, identity proofing processes, and due diligence assessments for financial product subscriptions.","What are the AML/CTF Act regulatory obligations for a reporting entity collecting and verifying KYC information, such as date of birth and residential address, and maintaining risk-based systems and controls when onboarding a customer for a designated service?","Contractual provisions, terms and conditions, and policy clauses governing the provision of a designated service, customer account opening, consent to collect sensitive personal information under Australian Privacy Principles, and related financial product subscriptions.","Consequences and compliance risks for a reporting entity if a customer fails identity proofing, the entity suspects the customer is not who they claim to be, there are doubts about the veracity or adequacy of KYC documents, or an employee fails to comply with AML/CTF due diligence programs during account setup."
task,"Have the customer sign relevant agreements and disclosures, such as the bank's terms and conditions and privacy policy.","Execute customer agreements, secure signature on required disclosures, accept terms and conditions, and acknowledge the Australian Privacy Principle privacy policy.","Compliance requirements for an Australian Privacy Principle entity to provide its privacy policy, present mandatory customer disclosures, and obtain documented consent for terms and conditions during customer due diligence.","Contractual clauses specifying the customer's acceptance of terms and conditions, privacy policy provisions, disclosure statements, and formal execution of banking agreements.","Failure to provide a clearly expressed Australian Privacy Principle privacy policy, missing customer signatures on terms and conditions, or unauthorized disclosure due to non-compliant or unsigned customer agreements."
task,"Explain the features and benefits of the customer's specific account type, such as interest rates and fees.","statutory provisions governing product disclosure statements, terms and conditions, schedule of fees and charges, calculation of interest rates, and specific deposit or credit account features","mandatory disclosure obligations, financial consumer protection regulations, transparency requirements for communicating consumer account features, interest rates, and fee structures","terms and conditions clauses detailing account features, policy benefits, calculation and application of interest rates, and procedural provisions for assessing account fees","regulatory penalties for failure to disclose account fees, consumer disputes regarding hidden charges, misleading or deceptive conduct claims over interest rates and misrepresented account benefits"
task,Provide an overview of the bank's products and services that may be of interest to the customer based on their profile.,"Suitability assessment, target market determination, know your customer KYC profiling, product appropriateness, and matching financial products and services to customer profiles and needs.","Obligations and requirements for reporting entities, employees, and distributors to recommend financial products and services that align with the customer's KYC information, risk profile, and target market determination.",Clauses and policy provisions requiring employees or distributors to provide services that match their expertise and to offer financial products suitable for the customer's profile and collected identity data.,"Violations, penalties, and consequences for failing to assess product suitability, providing inappropriate financial services, or breaching target market and customer profiling obligations."
task,"Offer assistance to the customer in navigating their account, including setting up online banking, setting up alerts, and addressing any questions or concerns they may have.","Provision of designated services to a customer, including establishing customer identity, facilitating account access and management, verifying electronic data for online banking, configuring notifications or alerts, and collecting personal information with valid consent to address inquiries.","Obligations of a reporting entity or Australian Privacy Principle entity during customer account setup, including AML/CTF Act requirements for electronic data authentication, ensuring personal information collected is accurate, up-to-date, and complete, and maintaining a clearly expressed privacy policy when handling customer inquiries and alerts.","Terms and conditions governing the provision of designated services, including procedural provisions for establishing customer identity, clauses detailing the setup of online banking and alerts, customer consent forms for information access, and policies outlining the entity's duties in resolving customer questions.","Legal liability for unauthorized account access, regulatory penalties for a reporting entity's failure to establish customer identity or verify electronic data, breaches of Australian Privacy Principles due to inaccurate personal information, and disputes arising from negligent configuration of alerts or inadequate AML/CTF program controls."
