level,query,legal_terminology_rewrite,regulatory_compliance_query,contract_clause_query,risk_scenario_query
task,"The security team assesses the urgency of the incident based on the potential impact on the organisation and the criticality of the affected systems, and assigns a priority level that determines how quickly the response must proceed.","Evaluation of the probability and impact of a physical or technical incident on network and information systems to determine severity, assess risks to availability, and assign assurance or priority levels for restoring services in a timely manner.","Controller and processor obligations for cybersecurity incident reporting, including requirements to conduct a data protection impact assessment, evaluate the likelihood and severity of risks to rights and freedoms, and mandate technical measures to restore access and availability in a timely manner based on system criticality.","Contractual provisions and binding corporate rules defining security incident response methodologies, including the assignment of responsibilities for evaluating the probability and impact of incidents, establishing assurance levels, and procedural duties for mitigating risks to network and information systems.","Legal liability and regulatory penalties for failing to implement appropriate technical and organisational measures during a physical or technical incident, including consequences of inadequately assessing the likelihood and severity of risks, delayed restoration of availability, and regulatory non-compliance leading to unauthorized access or data destruction."
task,"The security team assigns responsibility for the incident to the appropriate internal teams based on its nature and priority, ensuring that the right technical and compliance expertise is involved from the outset.","Designation of accountability and assignment of responsibilities for security incidents by the controller or processor, based on the nature, probability, and impact of the incident, ensuring the implementation of appropriate technical and organisational measures and the engagement of the data protection officer and relevant technical experts.","Regulatory obligations for the controller and processor regarding incident reporting and response, including the mandatory assignment of responsibilities to internal teams with appropriate technical and compliance expertise, ensuring a level of security appropriate to the risk and cooperation with the supervisory authority and CSIRTs.","Contractual clauses and binding corporate rules governing the assignment of responsibilities for incident management, including service level agreements that mandate the involvement of appropriate technical and organisational expertise to restore the availability and access to personal data.","Risk of administrative fines and penalties for infringements of incident response protocols, failure by the controller or processor to implement appropriate technical and organisational measures, or delayed assignment of responsibilities based on the nature, gravity, and duration of the incident, leading to unmitigated damage to data subjects."
task,"The relevant internal stakeholders including the engineering, legal, and communications teams are informed that an incident is underway and told what their role in the response will be.","internal notification procedures, assignment of responsibilities, and information sharing regarding technical and physical security incidents among relevant stakeholders, processors, and data protection officers","regulatory obligations for incident reporting, information sharing, and assignment of responsibilities during a cybersecurity incident or personal data breach, including duties to inform controllers, processors, and internal stakeholders of their required technical and organisational measures","contractual clauses and procedural provisions governing incident response protocols, defining internal stakeholder obligations, designated contact points, and the formal assignment of responsibilities for implementing technical and organisational measures during a breach","administrative fines and legal consequences for failing to implement appropriate technical and organisational measures during an incident, including the failure to notify internal stakeholders, execute incident response protocols, or clearly assign responsibilities"
task,"A shared incident workspace is created where all teams involved in the response can log actions taken, record decisions made, and track the progress of the incident from start to finish.","Documentation of incident management and response protocols, including the recording of actions undertaken, determinations made, and oversight of event progression, to support operational cooperation, incident reporting, and secure information sharing among operators of network and information systems.","Legal requirements for maintaining a record of processing activities and incident handling, including maintaining audit trails to record which data, services, or functions have been accessed. Obligations concerning access controls, timely incident reporting, and ensuring the ongoing confidentiality, integrity, and availability of shared incident response workspaces.","Clauses governing the provision and use of shared incident response workspaces and operational cooperation platforms. Terms related to the creation and availability of such systems, the rights of involved teams to log actions and record decisions, and procedural provisions for tracking incident progress and facilitating secure information sharing.","Legal consequences of unauthorized access to or disclosure of shared incident workspace data, data integrity failures in incident logs and decision records, failure to restore the availability of incident data in a timely manner, inability to accurately track incident progress, and penalties for non-compliance with incident reporting and documentation requirements."
task,"The response team reviews the affected systems and data stores to determine whether any personal or sensitive data was involved in the incident, and identifies the categories of data and the number of individuals potentially affected.","Controller and processor assessment of a personal data breach to ascertain the involvement of personal data, special categories of personal data, the categories and approximate number of data subjects concerned, and the categories and approximate number of personal data records concerned.","Regulatory obligations of the controller to investigate a personal data breach, assess if it poses a high risk to the rights and freedoms of natural persons, identify categories of data and data subjects concerned, and notify the supervisory authority without undue delay or within 72 hours.","Contractual clauses defining controller and processor obligations during a personal data breach, including incident response procedures, technical and organisational measures, data protection audit rights, and terms for assessing affected data records and notifying affected data subjects.","Risk of administrative fines and regulatory penalties for failing to adequately assess a personal data breach, delays in determining the approximate number of data subjects affected, underestimating the high risk to rights and freedoms, or failing to report the nature, gravity, and categories of personal data compromised."
task,"The response team determines whether the incident qualifies as a personal data breach by establishing whether personal data was accessed, disclosed, altered, or destroyed without authorisation.","Determination by the controller or processor of a personal data breach resulting from accidental or unauthorised destruction, loss, alteration, unauthorised disclosure of, or access to personal data during a physical or technical incident.","Controller and processor regulatory obligations for personal data breach notification, including timelines to notify the supervisory authority without undue delay or within 72 hours, and requirements to assess the risk to the rights and freedoms of natural persons following unauthorised access, disclosure, alteration, or destruction.","Contractual clauses and data processing agreement provisions regarding personal data breach determination, processor obligations to notify the controller without undue delay, and requirements for technical and organisational measures ensuring ongoing confidentiality, integrity, and availability.","Legal consequences and risks of failing to identify or report a personal data breach, including failure to notify the supervisory authority of accidental or unauthorised destruction, loss, or disclosure, resulting in high risk to the rights and freedoms of natural persons, investigations for infringement of the regulation, and regulatory penalties."
task,"The response team evaluates the likely impact on the individuals whose personal data was involved, taking into account the type of data affected, the number of people involved, and the possible consequences such as financial loss or identity theft.","assessment of the risk to the rights and freedoms of natural persons resulting from a personal data breach or high-risk processing, evaluating categories of personal data, the number of data subjects affected, and the level of damage suffered, such as identity theft or financial loss.","legal obligations of the controller to communicate a personal data breach to the data subject without undue delay and notify the supervisory authority within 72 hours, including requirements to conduct a data protection impact assessment evaluating high risk to natural persons.","contractual clauses binding the processor and controller regarding personal data breach reporting procedures, allocation of responsibilities for data protection impact assessments, and indemnification for the level of damage suffered by data subjects.","imposition of effective, proportionate, and dissuasive administrative fines for infringements involving personal data breaches, taking into account the gravity of the failure to mitigate high risks, the number of data subjects affected, and the level of damage suffered."
task,"The reasoning and outcome of the breach classification and risk assessment are recorded in the incident workspace, including the evidence reviewed and the names of the individuals who carried out the assessment.","Documentation of personal data breach classification and data protection impact assessment outcomes, including reasoning, evaluation of the risk to the rights and freedoms of natural persons, supporting evidence, and the identity of the data protection officer or personnel involved, maintained within the incident record or record of processing activities.","Controller obligations for incident reporting and documenting personal data breach classification, risk assessments concerning the rights and freedoms of natural persons, measures to mitigate the risk, and the recording of reasoning, evidence, and assessor identity under data protection regulations.","""provisions requiring the controller or processor to maintain a record of personal data breach classification, data protection impact assessment outcomes, documented reasoning, evidence of technical and organisational measures to mitigate risk, and assessor identification in the designated incident workspace""","regulatory penalties and enforcement actions by the supervisory authority for failure to adequately document personal data breach classification, flawed data protection impact assessments, incomplete records of processing activities, missing reasoning or evidence to mitigate risk, and failure to record the identity of involved personnel."
task,"The Data Protection Officer decides whether the breach must be notified to the relevant supervisory authority and records the reasoning behind the decision, including any factors that would justify not notifying.","Determination of personal data breach notification obligations by the controller to the competent supervisory authority without undue delay or within 72 hours, including documentation of the decision-making rationale by the data protection officer and grounds for non-notification when the breach is unlikely to result in a risk to the rights and freedoms of natural persons.","Regulatory compliance requirements for personal data breach notification under GDPR, including the mandatory assessment process, the duty to notify the competent supervisory authority without undue delay, evaluation of high risk to natural persons by the data protection officer, and statutory documentation requirements for the reasons for delay or non-notification.","Contractual clauses and standard data protection provisions governing the mutual assistance and duties of the controller and processor to assess personal data breaches, stipulating timelines for communicating with the supervisory authority, and requiring the data protection officer to maintain a formal record of processing activities and written justification for non-notification.","Legal consequences, administrative fines, and sanctions for infringement of personal data breach notification obligations, including the failure of the controller or data protection officer to communicate a high risk breach to the supervisory authority without undue delay, inadequate documentation of the reasons for delay, and failure to mitigate risks to data subjects."
task,The Data Protection Officer decides whether the affected individuals need to be informed directly about the breach and documents the reasoning and outcome of the decision in the incident record.,"Data protection officer determination on communication of personal data breach to data subjects without undue delay, assessment of high risk to rights and freedoms, and documentation of reasoning and outcome within the controller's incident record.","Obligations of the controller to communicate a personal data breach to the data subject without undue delay under GDPR Article 34, including decision criteria for high risk to rights and freedoms, exemptions based on technical and organisational protection measures, and requirements for the data protection officer to document the reasoning in incident reporting records.","Data processing agreement clauses specifying notification obligations for personal data breaches, controller and processor incident reporting provisions, cybersecurity policy requirements for breach assessment, and duties to document data protection officer decisions regarding communication to data subjects.","Administrative fines and legal consequences for the controller's failure to communicate a personal data breach to data subjects without undue delay, disputes over improper assessment of high risk to rights and freedoms, negligent data protection officer decisions, and penalties for inadequate documentation of breach notification reasoning."
task,"The Data Protection Officer compiles the formal breach notification report, covering the nature of the breach, the categories and approximate number of individuals and records affected, the likely consequences, and the measures taken or planned to address it.","Data protection officer tasks regarding personal data breach notification to the supervisory authority without undue delay, describing the nature of the personal data breach, categories and approximate number of data subjects concerned, categories and approximate number of personal data records concerned, likely consequences, and measures taken or proposed to address the breach and mitigate possible adverse effects.","GDPR compliance obligations for controllers, processors, and data protection officers regarding personal data breach notification, including timelines such as within 72 hours, required reporting contents covering the nature of the personal data breach, data subjects concerned, personal data records concerned, likely consequences, and measures taken or proposed to be taken to mitigate adverse effects.","Data processing agreement clauses specifying data protection officer duties and controller obligations for personal data breach notification, outlining procedures to document the nature of the personal data breach, affected data subjects and personal data records, likely consequences, and mitigation measures, along with liability and procedural provisions for failing to report without undue delay.","Consequences of failing to notify the supervisory authority of a personal data breach within 72 hours without undue delay, incomplete reporting of the nature of the breach, affected data subjects or personal data records, or omitting likely consequences and mitigation measures, resulting in administrative fines, regulatory penalties, infringement liabilities, and data subject disputes under GDPR."
task,"The completed notification report is submitted to the relevant supervisory authority within 72 hours of the organisation becoming aware of the breach, and a copy of the submission and the confirmation of receipt are stored in the incident record.","notification of a personal data breach by the controller to the competent supervisory authority without undue delay and not later than 72 hours after becoming aware, including documentation of the categories of data subjects, reasons for the delay, and maintaining an incident record of processing activities","mandatory compliance requirements and obligations for controllers and processors regarding personal data breach notifications to supervisory authorities, including strict timelines such as without undue delay and within 72 hours, reporting on the nature of the breach, and statutory record-keeping for submissions and delay justifications","contractual clauses, service level agreements, and data processing provisions governing the duties of controllers and processors to communicate personal data breaches, establishing procedural rights for notifying competent supervisory authorities within 72 hours, and maintaining auditable incident records and receipts","penalties, liabilities, and legal consequences for a controller or processor failing to notify a personal data breach to the supervisory authority without undue delay or not later than 72 hours, including violations stemming from the failure to maintain proper incident records, missing reasons for delay, and incomplete reporting of affected personal data records"
task,"The full details of the breach including the timeline of events, the decisions made, and the actions taken are entered into the organisation's internal breach register so that a complete record of the incident is available for future reference.","controller documentation of personal data breaches, facts relating to the personal data breach, effects and remedial action taken, internal incident record, maintaining breach registers, measures implemented","compliance requirements for the controller to document any personal data breaches, record facts relating to the incident, timeline of events, effects, and remedial action taken, enabling the supervisory authority to verify compliance.","contractual obligations for processors and controllers to maintain an internal record of personal data breaches, including documentation of the nature of the incident, timeline, decisions, and remedial actions taken to mitigate risk.","regulatory penalties for failure to document personal data breaches, inadequate internal incident registers, inability to demonstrate remedial actions taken to the supervisory authority, and disputes over missing breach timeline records."
task,"The relevant teams review the handling of the incident to identify the root cause of the breach and any gaps in the organisation's detection, communication, or response procedures that contributed to the incident or delayed the resolution.","post-incident investigation of personal data breach causation, assessing the effectiveness of technical and organisational measures, and identifying systemic failures in the prevention, detection, analysis, and communication protocols for cyber threats and incidents","legal obligations of the controller and processor for post-incident reporting and analysis, including identifying the root cause of a personal data breach, communicating to the data subject without undue delay, and evaluating the effectiveness of technical and organisational measures for detection and response","contractual clauses and policy terms establishing duties for post-incident review, including obligations to test, assess, and evaluate the effectiveness of technical and organisational measures, incident reporting procedures, and timely restoration following a cybersecurity incident","supervisory authority investigations, penalties, and liability for failing to adequately identify the root cause of a personal data breach, consequences of delayed communication to the data subject, and remedies for inadequate technical and organisational measures failing to detect cyber threats"
task,"The organisation's internal incident response procedures and guidelines are updated to reflect the lessons identified in the review, and the changes are communicated to all relevant staff.","revision of the controller or processor technical and organisational measures and internal policies to reflect evaluations of cyber threats and incidents, ensuring updated incident response procedures are communicated through awareness-raising and training of staff","legal obligations for controllers and processors to regularly test, assess, and evaluate the effectiveness of technical and organisational measures, update incident response guidelines following reviews, and conduct awareness-raising and training of staff involved in processing operations","contractual provisions and binding corporate rules obligating the processor to regularly test, evaluate, and update technical and organisational measures, report on incident reviews, and enforce awareness-raising and training of staff regarding updated data protection policies","regulatory consequences and penalties for controllers failing to regularly test, assess, and evaluate the effectiveness of technical and organisational measures, update incident response policies after cyber threats, or provide adequate awareness-raising and training of staff involved in processing operations"
task,"Detection times, response times, and the categories of data most frequently involved in incidents are compiled into a summary report to help the organisation identify patterns and target its security improvement efforts more effectively.","Analysis of cyber threats and incidents, including detection timelines, response capabilities, and categories of personal data affected, compiled into formal records of processing activities to identify emerging trends, assess risks, and implement appropriate technical and organisational measures for the security of network and information systems.","Legal requirements and obligations for incident reporting and information sharing, maintaining records of processing activities including data categories involved, conducting data protection impact assessments, and documenting technical and organisational measures to demonstrate compliance with regulations governing the security of network and information systems.","Contractual provisions and service level agreements (SLAs) dictating incident detection and response times, obligations for incident reporting and information sharing, clauses requiring the implementation of technical and organisational measures to ensure ongoing confidentiality, integrity, availability and resilience, and audit rights concerning cybersecurity incident metrics.","Legal consequences, regulatory penalties, and liability arising from the failure to implement appropriate technical and organisational measures, inadequate detection and response to cyber threats and incidents, non-compliance with mandatory incident reporting obligations, and subsequent personal data breaches or lack of availability and resilience of processing systems."
